"STATE","ST_CASE","VEH_NO","VE_FORMS","NUMOCCS","DAY","MONTH","HOUR","MINUTE","HARM_EV","MAN_COLL","UNITTYPE","HIT_RUN","REG_STAT","OWNER","MAKE","MODEL","MAK_MOD","BODY_TYP","MOD_YEAR","VIN","VIN_1","VIN_2","VIN_3","VIN_4","VIN_5","VIN_6","VIN_7","VIN_8","VIN_9","VIN_10","VIN_11","VIN_12","TOW_VEH","J_KNIFE","MCARR_I1","MCARR_I2","MCARR_ID","GVWR","V_CONFIG","CARGO_BT","HAZ_INV","HAZ_PLAC","HAZ_ID","HAZ_CNO","HAZ_REL","BUS_USE","SPEC_USE","EMER_USE","TRAV_SP","UNDERIDE","ROLLOVER","ROLINLOC","IMPACT1","DEFORMED","TOWED","M_HARM","VEH_SC1","VEH_SC2","FIRE_EXP","DR_PRES","L_STATE","DR_ZIP","L_STATUS","L_TYPE","CDL_STAT","L_ENDORS","L_COMPL","L_RESTRI","DR_HGT","DR_WGT","PREV_ACC","PREV_SUS","PREV_DWI","PREV_SPD","PREV_OTH","FIRST_MO","FIRST_YR","LAST_MO","LAST_YR","SPEEDREL","DR_SF1","DR_SF2","DR_SF3","DR_SF4","VTRAFWAY","VNUM_LAN","VSPD_LIM","VALIGN","VPROFILE","VPAVETYP","VSURCOND","VTRAFCON","VTCONT_F","P_CRASH1","P_CRASH2","P_CRASH3","PCRASH4","PCRASH5","ACC_TYPE","TRLR1VIN","TRLR2VIN","TRLR3VIN","DEATHS","DR_DRINK"
1,10010,1,1,2,5,1,15,18,1,0,1,0,1,2,12,3,12003,2,2006,"1ZVFT82H8652","1","Z","V","F","T","8","2","H","8","6","5","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,75,0,1,5,0,6,2,32,0,0,0,1,1,36376,6,1,0,0,3,0,76,230,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,55,2,6,2,1,0,0,14,12,1,1,4,6,"777777777777","777777777777","777777777777",2,1
1,10011,1,2,1,6,1,8,4,12,2,1,0,1,1,7,482,7482,40,2015,"1C6RR6KG0FS5","1","C","6","R","R","6","K","G","0","F","S","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35242,6,1,0,0,3,0,70,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,35,1,1,2,1,0,0,11,15,99,1,1,68,"777777777777","777777777777","777777777777",0,0
1,10011,2,2,1,6,1,8,4,12,2,1,0,1,1,37,31,37031,2,1998,"1HGEJ7121WL0","1","H","G","E","J","7","1","2","1","W","L","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,35120,6,1,0,0,3,1,71,154,0,0,0,2,0,3,2015,10,2015,3,0,0,0,0,1,4,35,1,1,2,1,0,0,6,17,16,1,1,69,"777777777777","777777777777","777777777777",1,0
1,10012,1,1,2,6,1,14,20,42,0,1,0,1,2,49,471,49471,31,1986,"JT4RN50R1G01","J","T","4","R","N","5","0","R","1","G","0","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,11,6,2,42,0,0,0,1,1,35581,2,1,0,0,2,0,66,125,1,1,1,0,1,4,2012,2,2013,9,28,0,0,0,1,2,45,1,5,2,1,0,0,1,12,1,1,4,6,"777777777777","777777777777","777777777777",1,0
1,10013,1,1,1,7,1,16,55,8,0,1,0,1,1,55,37,55037,2,2004,"KMHHN65F94U1","K","M","H","H","N","6","5","F","9","4","U","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,70,0,0,0,12,6,2,8,0,0,0,1,1,35121,6,1,0,0,3,0,68,215,1,0,0,0,0,4,2015,4,2015,0,28,0,0,0,2,2,55,1,1,2,1,0,0,1,11,1,1,4,13,"777777777777","777777777777","777777777777",0,0
1,10014,1,2,4,8,1,0,35,12,2,1,0,1,2,35,47,35047,4,2009,"1N4AL21E99N5","1","N","4","A","L","2","1","E","9","9","N","5",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,60,0,0,0,12,6,2,12,0,0,0,1,1,36605,6,1,0,0,3,0,64,180,1,0,0,0,0,10,2011,10,2011,3,28,0,0,0,5,5,60,2,1,2,1,0,0,14,10,1,1,2,50,"777777777777","777777777777","777777777777",1,1
1,10014,2,2,1,8,1,0,35,12,2,1,0,1,2,20,481,20481,31,2004,"1GCEC19T54Z1","1","G","C","E","C","1","9","T","5","4","Z","1",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,999,0,0,0,12,6,2,12,0,0,0,1,1,36618,6,1,0,0,3,0,71,180,1,1,1,1,0,2,2012,7,2014,0,0,0,0,0,5,5,40,3,1,2,1,0,0,14,62,6,1,2,51,"777777777777","777777777777","777777777777",0,0
1,10015,1,2,1,8,1,7,25,12,2,1,0,1,1,20,2,20002,4,2004,"2G1WH52K0493","2","G","1","W","H","5","2","K","0","4","9","3",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,6,2,12,0,0,0,1,1,36201,6,1,0,0,3,0,66,190,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1,2,40,1,1,2,2,0,0,1,10,1,1,2,50,"777777777777","777777777777","777777777777",1,1
1,10015,2,2,2,8,1,7,25,12,2,1,0,1,2,37,441,37441,20,2014,"5FNRL5H6XEB0","5","F","N","R","L","5","H","6","X","E","B","0",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,12,6,2,12,0,0,0,1,1,36201,6,1,0,0,3,0,65,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,40,1,1,2,2,0,0,1,62,1,1,1,51,"777777777777","777777777777","777777777777",0,0
1,10016,1,1,1,9,1,4,30,42,0,1,0,1,2,20,481,20481,31,1990,"2GCEC19K1L12","2","G","C","E","C","1","9","K","1","L","1","2",0,0,0,"000000000","00000000000",0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,42,0,0,0,1,1,35150,6,1,0,0,3,0,68,182,1,0,0,0,0,3,2015,3,2015,3,58,0,0,0,1,2,45,3,1,2,2,0,0,14,13,6,4,4,7,"777777777777","777777777777","777777777777",1,0
